record_id,equipment_id,equipment_type,location,visit_date,technician_id,defect_description,true_defect_label,severity,days_to_failure,repair_duration_hrs,downtime_hrs,parts_replaced,data_quality_frequency,data_quality_freshness,data_quality_completeness,data_quality_pertinence,quality_score
WO-00001,EQ-0009,Cooling Tower,Plant A - Line 1,2022-08-07,TECH-001,"Heat exchanger fouling reducing efficiency, outlet temp 94°C above setpoint",overheating,High,,14.5,3.6,None - monitoring,0.49,0.87,0.73,0.65,0.696
WO-00002,EQ-0047,Air Compressor,Utilities Block,2023-06-28,TECH-020,"Wrong lubricant grade used during last service, compatibility issue",lubrication,Low,131.0,1.7,0.5,Mechanical seal kit,0.77,0.54,0.56,0.93,0.681
WO-00003,EQ-0016,Air Compressor,Warehouse C,2022-11-20,TECH-020,"Excessive vibration on pump casing, amplitude 12.5 mm/s at 1450 RPM",vibration,Medium,,15.0,0.2,Mechanical seal kit,0.35,0.53,0.63,0.96,0.596
WO-00004,EQ-0005,Electric Motor,Utilities Block,2023-07-21,TECH-007,"Oil analysis shows high iron content 118 ppm, internal wear indicated",lubrication,Low,73.0,9.9,10.7,Oil filter + 5L oil,0.65,0.55,0.95,0.43,0.651
WO-00005,EQ-0041,Conveyor Belt,Plant A - Line 1,2023-08-20,TECH-002,"Heat exchanger fouling reducing efficiency, outlet temp 67°C above setpoint",overheating,High,111.0,2.5,1.2,Coupling insert,0.45,0.55,0.55,0.87,0.589
WO-00006,EQ-0027,Gearbox,Warehouse C,2022-10-01,TECH-016,"Oil viscosity out of specification, degraded due to thermal cycling",lubrication,Low,180.0,2.2,2.9,Contactor 3RT2,0.44,0.95,0.67,0.89,0.74
WO-00007,EQ-0015,Conveyor Belt,Plant B - Line 1,2023-08-18,TECH-014,"Hydraulic fluid leak at cylinder rod seal, 76 ml/hr estimated loss",seal_leak,Medium,,4.6,0.7,Coupling insert,0.81,0.59,0.8,0.71,0.722
WO-00008,EQ-0025,Centrifugal Pump,Plant A - Line 1,2023-02-20,TECH-019,"Lubricant contamination detected, water content 17% above limit. Additionally, compressor discharge temperature 84°c, intercooler bypass suspected",lubrication,Low,1.0,5.2,1.6,Coupling insert,0.63,0.67,0.61,0.68,0.647
WO-00009,EQ-0048,Cooling Tower,Plant B - Line 3,2023-04-12,TECH-013,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,Medium,162.0,9.4,10.1,Impeller,0.58,0.49,0.84,0.94,0.69
WO-00010,EQ-0050,Electric Motor,Plant A - Line 2,2023-09-02,TECH-017,"Automatic lubrication system failed, manual greasing required",lubrication,Low,114.0,10.0,10.8,None - monitoring,0.88,0.73,0.95,0.85,0.846
WO-00011,EQ-0031,Heat Exchanger,Warehouse C,2022-01-21,TECH-001,"Gearbox oil temperature 80°C, possible cooler blockage. Additionally, oil seepage observed around pump casing seal, minor pooling on floor",overheating,High,,12.4,7.1,Coupling insert,0.51,0.63,0.95,0.9,0.734
WO-00012,EQ-0035,Electric Motor,Warehouse C,2023-09-30,TECH-003,"VFD fault code F52 logged, overcurrent on deceleration",electrical_fault,High,101.0,9.7,9.6,None - monitoring,0.39,0.68,0.53,0.63,0.56
