record_id,equipment_id,equipment_type,location,visit_date,defect_description,true_defect_label,cluster,defect_cluster_name,severity,days_to_failure,repair_duration_hrs,downtime_hrs,parts_replaced,quality_score,data_quality_frequency,data_quality_freshness,data_quality_completeness,data_quality_pertinence
WO-00001,EQ-0009,Cooling Tower,Plant A - Line 1,2022-08-07,"Heat exchanger fouling reducing efficiency, outlet temp 94°C above setpoint",overheating,8,Cluster 8,High,,14.5,3.6,None - monitoring,0.696,0.49,0.87,0.73,0.65
WO-00002,EQ-0047,Air Compressor,Utilities Block,2023-06-28,"Wrong lubricant grade used during last service, compatibility issue",lubrication,6,Corrosion & Erosion,Low,131.0,1.7,0.5,Mechanical seal kit,0.681,0.77,0.54,0.56,0.93
WO-00003,EQ-0016,Air Compressor,Warehouse C,2022-11-20,"Excessive vibration on pump casing, amplitude 12.5 mm/s at 1450 RPM",vibration,9,Cluster 9,Medium,,15.0,0.2,Mechanical seal kit,0.596,0.35,0.53,0.63,0.96
WO-00004,EQ-0005,Electric Motor,Utilities Block,2023-07-21,"Oil analysis shows high iron content 118 ppm, internal wear indicated",lubrication,11,Cluster 11,Low,73.0,9.9,10.7,Oil filter + 5L oil,0.651,0.65,0.55,0.95,0.43
WO-00005,EQ-0041,Conveyor Belt,Plant A - Line 1,2023-08-20,"Heat exchanger fouling reducing efficiency, outlet temp 67°C above setpoint",overheating,8,Cluster 8,High,111.0,2.5,1.2,Coupling insert,0.589,0.45,0.55,0.55,0.87
WO-00006,EQ-0027,Gearbox,Warehouse C,2022-10-01,"Oil viscosity out of specification, degraded due to thermal cycling",lubrication,9,Cluster 9,Low,180.0,2.2,2.9,Contactor 3RT2,0.74,0.44,0.95,0.67,0.89
WO-00007,EQ-0015,Conveyor Belt,Plant B - Line 1,2023-08-18,"Hydraulic fluid leak at cylinder rod seal, 76 ml/hr estimated loss",seal_leak,8,Cluster 8,Medium,,4.6,0.7,Coupling insert,0.722,0.81,0.59,0.8,0.71
WO-00008,EQ-0025,Centrifugal Pump,Plant A - Line 1,2023-02-20,"Lubricant contamination detected, water content 17% above limit. Additionally, compressor discharge temperature 84°c, intercooler bypass suspected",lubrication,2,Mechanical Seal Leak,Low,1.0,5.2,1.6,Coupling insert,0.647,0.63,0.67,0.61,0.68
WO-00009,EQ-0048,Cooling Tower,Plant B - Line 3,2023-04-12,"Unusual noise detected in bearing housing, suspected wear on inner race",bearing_wear,5,Electrical Fault,Medium,162.0,9.4,10.1,Impeller,0.69,0.58,0.49,0.84,0.94
WO-00010,EQ-0050,Electric Motor,Plant A - Line 2,2023-09-02,"Automatic lubrication system failed, manual greasing required",lubrication,12,Cluster 12,Low,114.0,10.0,10.8,None - monitoring,0.846,0.88,0.73,0.95,0.85
