equipment_id,total_visits,distinct_defects,avg_quality_score,avg_repair_hrs,avg_downtime_hrs,pct_high_severity,last_visit_date
EQ-0001,21,10,0.687,9.381,6.267,0.333,2023-10-17
EQ-0002,17,8,0.695,5.471,3.535,0.059,2023-11-21
EQ-0003,14,8,0.709,10.621,7.257,0.357,2023-12-21
EQ-0004,13,9,0.7,9.169,8.8,0.308,2023-11-09
EQ-0005,17,10,0.721,8.429,6.9,0.235,2023-12-31
EQ-0006,16,7,0.648,7.056,3.419,0.125,2023-11-04
EQ-0007,23,8,0.73,8.848,6.483,0.304,2023-11-22
EQ-0008,17,8,0.744,5.971,3.988,0.235,2023-12-05
EQ-0009,17,10,0.724,9.988,6.606,0.176,2023-12-05
EQ-0010,14,8,0.71,7.236,6.0,0.214,2023-12-18
EQ-0011,15,8,0.683,7.307,5.027,0.2,2023-12-19
EQ-0012,14,7,0.73,7.329,5.807,0.071,2023-12-23
EQ-0013,14,8,0.693,8.414,6.0,0.143,2023-09-08
EQ-0014,17,10,0.733,6.882,5.941,0.118,2023-12-16
EQ-0015,12,6,0.73,5.333,1.383,0.333,2023-09-27
EQ-0016,18,10,0.719,7.111,5.289,0.556,2023-12-16
EQ-0017,11,8,0.723,8.955,4.427,0.455,2023-12-30
EQ-0018,13,8,0.733,9.469,5.008,0.231,2023-11-27
EQ-0019,16,9,0.717,9.844,7.606,0.0,2023-11-27
EQ-0020,19,10,0.637,9.747,8.821,0.158,2023-12-03
EQ-0021,18,8,0.693,9.844,7.3,0.278,2023-12-23
EQ-0022,11,7,0.663,6.7,5.291,0.091,2023-12-02
EQ-0023,22,10,0.705,8.8,7.455,0.136,2023-11-08
EQ-0024,13,6,0.713,9.777,8.838,0.231,2023-10-03
EQ-0025,22,9,0.695,7.882,7.145,0.182,2023-12-05
EQ-0026,15,10,0.681,7.42,4.773,0.267,2024-01-01
EQ-0027,16,13,0.714,5.612,3.431,0.0,2023-12-26
EQ-0028,20,11,0.694,8.87,6.635,0.2,2024-01-01
EQ-0029,18,9,0.694,8.089,4.283,0.222,2023-12-31
EQ-0030,12,7,0.717,7.767,5.475,0.417,2023-12-11
EQ-0031,11,10,0.763,7.573,5.655,0.273,2023-11-22
EQ-0032,19,8,0.707,8.711,6.311,0.316,2023-12-13
EQ-0033,14,7,0.685,5.836,4.986,0.286,2023-09-29
EQ-0034,16,6,0.677,7.188,4.331,0.062,2023-10-14
EQ-0035,10,6,0.672,8.85,8.68,0.2,2023-12-15
EQ-0036,14,8,0.68,8.114,7.221,0.143,2023-11-15
EQ-0037,20,10,0.729,7.47,5.125,0.3,2023-12-19
EQ-0038,13,8,0.668,8.546,4.546,0.308,2023-12-13
EQ-0039,17,9,0.701,7.606,6.529,0.176,2023-12-11
EQ-0040,17,7,0.716,5.4,3.141,0.235,2023-12-04
EQ-0041,18,6,0.709,8.233,6.967,0.444,2023-12-12
EQ-0042,15,9,0.679,8.453,7.18,0.333,2023-12-08
EQ-0043,16,9,0.721,7.431,5.069,0.25,2023-12-11
EQ-0044,9,6,0.717,11.011,8.989,0.333,2023-12-01
EQ-0045,16,9,0.688,9.844,9.312,0.125,2023-11-26
EQ-0046,14,9,0.705,7.85,5.093,0.286,2023-11-07
EQ-0047,19,9,0.714,7.468,5.874,0.211,2023-11-08
EQ-0048,10,7,0.69,11.14,8.83,0.0,2023-10-27
EQ-0049,25,9,0.688,8.296,4.944,0.12,2023-11-30
EQ-0050,14,8,0.722,6.214,5.229,0.143,2023-12-31
